發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年01月01日 03時00分,臺中市龍井區新庄里中興路與中興路東端路口(附近),死亡1;受傷1,普通重型-機車;自用-小客車;普通重型-機車,,
102年01月01日 03時15分,苗栗縣頭份鎮中正路東興路(口),死亡1;受傷0,其他人-人;自用-小客車,,
102年01月01日 04時32分,桃園縣桃園市中平里中山路泰昌三街(口)M10201      中路所(附近),死亡1;受傷1,普通重型-機車;自用-大貨車;普通重型-機車,,
102年01月01日 06時35分,高雄市仁武區八德一路八德西路口,死亡1;受傷0,營業用-大貨車;普通重型-機車,,
102年01月01日 21時17分,新北市土城區延壽路42巷5號前0.0公尺數,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車;動力機械-其他車,,
102年01月01日 23時45分,高雄市苓雅區中正二路45號前,死亡1;受傷0,普通重型-機車,,
102年01月02日 01時36分,新北市坪林區國道五號19公里100公尺處南向內側車道,死亡1;受傷0,自用-小貨車,,
102年01月02日 11時05分,屏東縣林邊鄉中山路台塑加油站前(附近),死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,,
102年01月02日 11時30分,南投縣埔里鎮蜈蚣里鯉魚路距中山路一段路口30公尺處(附近),死亡1;受傷0,普通重型-機車,,
102年01月02日 18時00分,新竹縣尖石鄉秀巒村13鄰新竹縣尖石鄉秀巒村13鄰栗園3-2號旁〈產業道路〉(附近),死亡1;受傷0,自用-小貨車;自用-小貨車,,
102年01月02日 20時06分,彰化縣線西鄉彰化縣線西鄉頂犁路137號旁,死亡1;受傷0,普通重型-機車,,
102年01月02日 22時14分,臺南市仁德區國道一號326公里400公尺處南向內側車道,死亡1;受傷0,腳踏自行車-慢車;自用-小客車;營業用-全聯結車,,
102年01月03日 05時54分,雲林縣斗六市文化路(黑松汽水廠)台3線0378號路燈桿前(附近),死亡1;受傷0,腳踏自行車-慢車;自用-小客車,,
102年01月03日 08時00分,高雄市內門區廣福路溝坪橋上,死亡1;受傷0,普通重型-機車,,
102年01月03日 12時40分,臺南市善化區嘉北里1-21號前路段(附近)臺1線311公里600公尺處南向外側車道,死亡1;受傷0,普通重型-機車;自用-大貨車,,
102年01月03日 13時05分,新竹市東區光復路二段NOVA對面(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月04日 00時39分,彰化縣埤頭鄉彰化縣埤頭鄉溪林路45號前,死亡1;受傷0,自用-小客車;行人-人,,
102年01月04日 00時48分,臺南市北區和緯路五段333號,死亡1;受傷0,自用-小客車;普通重型-機車,,
102年01月04日 03時40分,宜蘭縣三星鄉三星鄉上將路二段503號前(附近)196線9公里20公尺處東向外側車道,死亡1;受傷0,自用-小貨車,,
102年01月04日 16時14分,彰化縣福興鄉彰化縣福興鄉廈粘村沿海路3段與管厝街口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,,
102年01月04日 18時40分,彰化縣秀水鄉彰化縣秀水鄉金興村番花路金興高幹96號前,死亡1;受傷0,普通重型-機車;營業用-大貨車,,
102年01月04日 22時10分,彰化縣二林鎮彰化縣二林鎮西庄里二溪路6段（萬興幹121電桿前）,死亡1;受傷0,自用-小貨車;腳踏自行車-慢車,,
102年01月04日 22時52分,臺中市南屯區中台路中台幹78號電桿旁(附近),死亡2;受傷0,普通重型-機車;普通重型-機車,,
102年01月05日 00時15分,苗栗縣銅鑼鄉國道一號143公里580公尺處南向內側車道,死亡1;受傷0,自用-小客車,,
102年01月05日 03時40分,臺北市大安區建國南路信義路(口)建國南路 信義路,死亡1;受傷0,自用-小貨車;行人-人,,
102年01月05日 09時20分,桃園縣龍潭鄉九龍村健行路289巷旁(中興派出所)(附近),死亡1;受傷0,普通重型-機車,,
102年01月05日 10時58分,臺東縣台東市四川路2段195號前(附近),死亡1;受傷0,自用-小客車;普通重型-機車,,
102年01月05日 12時15分,臺南市後壁區頂安里95-30號172線25公里100公尺處東向內側車道,死亡1;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,,
102年01月05日 18時15分,嘉義縣民雄鄉文隆村建國路二段261號台1線259公里400公尺處南向中線車道,死亡1;受傷1,行人-人;自用-小貨車;自用-小貨車,,
102年01月05日 19時15分,屏東縣潮州鎮光春里里光春路616號,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月05日 21時01分,花蓮縣吉安鄉南華村吉安路五段218號南華所轄區(附近)台9丙07公里200公尺處南向內側車道,死亡1;受傷1,自用-小貨車;自用-小貨車;普通重型-機車;自用-小客車,,
102年01月06日 05時18分,臺南市鹽水區汫水里(岸內里路燈262)前(附近),死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月06日 06時16分,新北市中和區中和路前0.0公尺數中山路(口),死亡1;受傷0,計程車-小客車;行人-人,,
102年01月06日 14時40分,高雄市大寮區民族路民順街口,死亡1;受傷0,自用-小客車;普通重型-機車,,
102年01月06日 20時00分,彰化縣二林鎮彰化縣二林鎮西斗里斗苑路2段（西斗幹41-1號）,死亡2;受傷0,自用-小客車;自用-小客車,,
102年01月07日 06時04分,臺北市文山區新光路2段127號燈桿前,死亡1;受傷1,普通重型-機車;普通重型-機車;行人-人,,
102年01月07日 06時15分,基隆市仁愛區愛三路130號,死亡1;受傷1,普通重型-機車;行人-人;行人-人,,
102年01月07日 08時13分,臺南市新營區五興里1-6號路口(附近)臺19甲線5公里200公尺處北向外側車道,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車,,
102年01月07日 09時05分,南投縣埔里鎮中山路二段和平東路(口),死亡1;受傷1,自用-大貨車;普通重型-機車;普通重型-機車,,
102年01月07日 10時40分,臺中市北屯區太原路&#24269;子路口(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車,,
102年01月07日 15時04分,嘉義縣義竹鄉東光村台19線96公里100公尺處南向外側車道,死亡1;受傷0,自用-大貨車;普通重型-機車,,
102年01月07日 15時20分,臺南市安南區城安路安中路(口),死亡1;受傷0,民營公車-大客車;腳踏自行車-慢車,,
102年01月07日 17時58分,臺中市龍井區中央南路366號旁(附近),死亡1;受傷0,自用-小客車,,
102年01月07日 21時25分,高雄市甲仙區南部橫貫公路新榮巷口以東30公尺處,死亡1;受傷0,普通輕型-機車,,
102年01月08日 15時25分,高雄市大寮區上寮路農場路口,死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年01月09日 11時37分,臺南市下營區新興里174線和中山路1段413巷口(附近)174線19公里50公尺處東向內側車道,死亡1;受傷0,普通重型-機車;自用-小貨車,,
