統計期,人口數(人),人口增加率(‰),人口密度(人/平方公里)
97年1月,22966459.0,0.35,634.62
97年2月,22973622.0,0.31,634.81
97年3月,22978800.0,0.23,634.96
97年4月,22983286.0,0.2,635.08
97年5月,22988428.0,0.22,635.22
97年6月,22994262.0,0.25,635.38
97年7月,23000827.0,0.29,635.57
97年8月,23005067.0,0.18,635.68
97年9月,23007737.0,0.12,635.76
97年10月,23016257.0,0.37,635.99
97年11月,23027672.0,0.5,636.31
97年12月,23037031.0,0.41,636.57
98年1月,23046177.0,0.4,636.82
98年2月,23049407.0,0.14,636.87
98年3月,23058550.0,0.4,637.13
98年4月,23059339.0,0.03,637.15
98年5月,23063027.0,0.16,637.25
98年6月,23069345.0,0.27,637.42
98年7月,23077191.0,0.34,637.64
98年8月,23082125.0,0.21,637.78
98年9月,23086441.0,0.19,637.9
98年10月,23098049.0,0.5,638.22
98年11月,23109141.0,0.48,638.52
98年12月,23119772.0,0.46,638.82
99年1月,23124514.0,0.21,638.95
99年2月,23127845.0,0.14,639.04
99年3月,23131093.0,0.14,639.13
99年4月,23133074.0,0.09,639.19
99年5月,23135715.0,0.11,639.26
99年6月,23138381.0,0.12,639.33
99年7月,23142460.0,0.18,639.45
99年8月,23145020.0,0.11,639.52
99年9月,23146090.0,0.05,639.55
99年10月,23150923.0,0.21,639.68
99年11月,23157178.0,0.27,639.85
99年12月,23162123.0,0.21,639.99
100年1月,23164628.0,0.11,640.06
100年2月,23164457.0,,640.05
100年3月,23165878.0,0.06,640.09
100年4月,23170321.0,0.19,640.22
100年5月,23174528.0,0.18,640.33
100年6月,23180477.0,0.26,640.5
100年7月,23188078.0,0.33,640.71
100年8月,23193638.0,0.24,640.86
100年9月,23197947.0,0.19,640.95
100年10月,23205605.0,0.33,641.17
100年11月,23214620.0,0.39,641.42
100年12月,23224912.0,0.44,641.7
101年1月,23230506.0,0.24,641.85
101年2月,23234003.0,0.15,641.95
101年3月,23239268.0,0.23,642.1
101年4月,23245018.0,0.25,642.26
101年5月,23252392.0,0.32,642.46
101年6月,23261747.0,0.4,642.72
101年7月,23268372.0,0.28,642.9
101年8月,23276441.0,0.35,643.12
101年9月,23282670.0,0.27,643.3
101年10月,23293593.0,0.47,643.6
101年11月,23305021.0,0.49,643.91
101年12月,23315822.0,0.46,644.21
102年1月,23324092.0,0.35,644.44
102年2月,23328602.0,0.19,644.56
102年3月,23332705.0,0.18,644.68
102年4月,23335580.0,0.12,644.76
102年5月,23340136.0,0.2,644.88
102年6月,23344213.0,0.17,645.0
102年7月,23349724.0,0.24,645.15
102年8月,23354061.0,0.19,645.27
102年9月,23356588.0,0.11,645.34
102年10月,23361147.0,0.2,645.46
102年11月,23367320.0,0.26,645.63
102年12月,23373517.0,0.27,645.81
103年1月,23377515.0,0.17,645.92
103年2月,23379129.0,0.07,645.96
103年3月,23379594.0,0.02,645.97
103年4月,23382948.0,0.14,646.07
103年5月,23386883.0,0.17,646.17
103年6月,23392036.0,0.22,646.32
103年7月,23398263.0,0.27,646.49
103年8月,23404243.0,0.26,646.65
103年9月,23410280.0,0.26,646.82
103年10月,23417116.0,0.29,647.01
103年11月,23424615.0,0.32,647.22
103年12月,23433753.0,0.39,647.47
104年1月,23440278.0,0.28,647.65
104年2月,23445534.0,0.22,647.8
104年3月,23449287.0,0.16,647.9
104年4月,23452387.0,0.13,647.91
104年5月,23456545.0,0.18,648.02
104年6月,23461562.0,0.21,648.16
104年7月,23461708.0,0.01,648.17
104年8月,23465003.0,0.14,648.26
104年9月,23468748.0,0.16,648.36
104年10月,23476640.0,0.34,648.58
104年11月,23483793.0,0.3,648.78
104年12月,23492074.0,0.35,649.0
105年1月,23496068.0,0.17,649.12
105年2月,23496935.0,0.04,649.14
105年3月,23496813.0,,649.14
105年4月,23499404.0,0.11,649.21
105年5月,23503349.0,0.17,649.32
105年6月,23508362.0,0.21,649.45
105年7月,23514750.0,0.27,649.63
105年8月,23516841.0,0.09,649.69
105年9月,23519518.0,0.11,649.76
105年10月,23526295.0,0.29,649.95
105年11月,23532065.0,0.25,650.11
105年12月,23539816.0,0.33,650.32
106年1月,23543346.0,0.15,650.42
106年2月,23544189.0,0.04,650.44
106年3月,23545680.0,0.06,650.49
106年4月,23547448.0,0.08,650.53
106年5月,23550077.0,0.11,650.61
106年6月,23552470.0,0.1,650.67
