統計期,平均每人GNI,平均每人GDP,平均每人NI,平均每人民間消費支出
97年第1季,151658,144721,126171,80292
97年第2季,146249,144172,119405,77919
97年第3季,143151,140947,117828,79866
97年第4季,142518,140439,119139,77187
98年第1季,140442,134819,113705,76743
98年第2季,138323,134508,112228,75170
98年第3季,144292,141465,118046,78928
98年第4季,154184,149015,129280,79517
99年第1季,154303,147518,129111,79529
99年第2季,154351,149886,128976,78736
99年第3季,159095,155737,132097,82694
99年第4季,157811,154455,134050,82321
100年第1季,160000,153297,137290,83633
100年第2季,153638,149702,128684,82260
100年第3季,159781,157167,130591,85689
100年第4季,157546,154756,130621,83640
101年第1季,159719,153765,133393,85575
101年第2季,157724,153099,130318,84545
101年第3季,165157,161594,136296,88180
101年第4季,166722,162291,137014,86166
102年第1季,163139,157387,139023,87021
102年第2季,162310,159449,136317,86540
102年第3季,170115,166054,143769,89670
102年第4季,175820,171252,146089,89842
103年第1季,172274,165254,147923,89933
103年第2季,174406,169567,148307,90717
103年第3季,180614,176757,154111,94376
103年第4季,186149,183102,156923,92560
104年第1季,188307,179835,161809,92188
104年第2季,180855,177245,153007,92829
104年第3季,183953,182665,155723,94412
104年第4季,192519,187150,162828,95101
105年第1季,192174,183756,162832,95209
105年第2季,186620,181155,157784,95340
105年第3季,187688,186819,159941,97383
105年第4季,199229,194796,170297,98277
106年第1季,194828,187098,166487,97375
106年第2季,187248,182844,159072,96769
106年第3季,191256,193411,163366,99834
106年第4季,209105,200092,179020,101924
107年第1季,200490,190824,169523,101005
107年第2季,193545,190128,163348,100737
107年第3季,192926,194996,164958,102460
107年第4季,209891,203312,179372,103366
108年第1季,202367,194163,169005,103016
108年第2季,201956,195602,169305,102955
108年第3季,201613,202174,170499,105580
108年第4季,215591,209409,182517,107293
109年第1季,207226,199628,172503,101311
109年第2季,206914,201090,171720,96368
109年第3季,223052,216649,189081,103648
109年第4季,231540,227118,197440,105807
110年第1季,231672,224934,194842,104634
110年第2季,227976,222549,194201,97511
110年第3季,235991,230287,200223,99994
110年第4季,251655,245316,216617,111435
111年第1季,250774,242169,210133,108660
111年第2季,244271,236379,206064,105033
111年第3季,248203,245809,206704,112161
111年第4季,259093,248193,215393,118475
