統計期,總計,大客車,大客車-自用,大客車-營業,大貨車,大貨車-自用,大貨車-營業,小客車,小客車-自用,小客車-營業,小客車-營業-計程車,小貨車,小貨車-自用,小貨車-營業,特種車,機車,機車-重型,機車-輕型
97年1月,20748261,27253,1784,25469,163722,91132,72590,5722284,5576475,145809,89708,812638,788177,24461,52321,13970043,9800152,4169891
97年2月,20770882,27198,1780,25418,163540,91116,72424,5718482,5572815,145667,89585,812495,788028,24467,52267,13996900,9835867,4161033
97年3月,20802481,27181,1773,25408,163544,91241,72303,5716314,5570626,145688,89411,813260,788741,24519,52255,14029927,9881834,4148093
97年4月,20840003,27188,1759,25429,163416,91360,72056,5708745,5563024,145721,89295,813796,789215,24581,52177,14074681,9938340,4136341
97年5月,20878856,27209,1753,25456,163063,91394,71669,5705184,5559436,145748,89215,814052,789362,24690,52178,14117170,9994893,4122277
97年6月,20921117,27174,1742,25432,162909,91507,71402,5697282,5551394,145888,89099,814445,789185,25260,52231,14167076,10058515,4108561
97年7月,20952496,27090,1736,25354,162406,91378,71028,5690489,5544211,146278,89131,814075,788498,25577,52272,14206164,10112287,4093877
97年8月,20967476,27003,1735,25268,162150,91317,70833,5683539,5537751,145788,88934,813549,787912,25637,52150,14229085,10150028,4079057
97年9月,21015079,27092,1737,25355,161982,91319,70663,5679515,5533884,145631,88832,813463,787701,25762,51821,14281206,10218501,4062705
97年10月,21048631,27153,1743,25410,161802,91308,70494,5678741,5533371,145370,88867,813390,787665,25725,51660,14315885,10270131,4045754
97年11月,21068657,27163,1736,25427,161462,91211,70251,5677398,5532626,144772,88799,813144,787395,25749,51640,14337850,10305826,4032024
97年12月,21092358,27339,1723,25616,161231,91215,70016,5674426,5530314,144112,88779,812440,786782,25658,51480,14365442,10349865,4015577
98年1月,21096019,27328,1708,25620,161056,91208,69848,5680882,5536675,144207,88884,812363,786606,25757,51371,14363019,10356586,4006433
98年2月,21100714,27297,1706,25591,160635,91107,69528,5672975,5529353,143622,88851,812364,786746,25618,51219,14376224,10383006,3993218
98年3月,21102535,27236,1703,25533,160313,91108,69205,5668581,5525202,143379,88900,812374,786921,25453,51108,14382923,10403879,3979044
98年4月,21100834,27228,1702,25526,160009,91083,68926,5665267,5521938,143329,88982,812970,787527,25443,51089,14384271,10420520,3963751
98年5月,21104505,27255,1707,25548,159850,91171,68679,5666648,5523373,143275,89063,813378,788125,25253,51100,14386274,10434869,3951405
98年6月,21112547,27276,1700,25576,159613,91262,68351,5670190,5526551,143639,89100,814248,788731,25517,51194,14390026,10453560,3936466
98年7月,21133412,27253,1692,25561,159447,91295,68152,5677167,5533447,143720,89100,814868,789215,25653,51430,14403247,10480534,3922713
98年8月,21150779,27220,1694,25526,159199,91337,67862,5676142,5532265,143877,89019,815044,789287,25757,51390,14421784,10512466,3909318
98年9月,21188050,27212,1694,25518,159145,91348,67797,5674613,5530893,143720,88843,815760,789708,26052,51202,14460118,10565655,3894463
98年10月,21217369,27218,1697,25521,159065,91428,67637,5680099,5536104,143995,88711,816976,790472,26504,51482,14482529,10601303,3881226
98年11月,21253591,27323,1695,25628,159038,91622,67416,5689014,5544873,144141,88605,818236,791554,26682,51472,14508508,10640644,3867864
98年12月,21374175,27667,1909,25758,158812,91543,67269,5704312,5559247,145065,88589,827955,792288,35667,51099,14604330,10749348,3854982
99年1月,21376174,27688,1890,25798,158872,91652,67220,5713317,5568327,144990,88478,828976,792846,36130,50922,14596399,10750532,3845867
99年2月,21384396,27781,1888,25893,158833,91668,67165,5716291,5571336,144955,88400,829216,792896,36320,50814,14601461,10763046,3838415
99年3月,21388404,27808,1877,25931,158847,91735,67112,5715207,5569879,145328,88288,830192,793642,36550,50679,14605671,10779434,3826237
99年4月,21400398,27945,1874,26071,158988,91812,67176,5717089,5571230,145859,88168,831554,794660,36894,50731,14614091,10798995,3815096
99年5月,21425078,28016,1867,26149,159177,92002,67175,5722492,5575944,146548,88122,833284,795997,37287,50816,14631293,10827190,3804103
99年6月,21461681,28109,1864,26245,159487,92158,67329,5732501,5585173,147328,88051,834352,796761,37591,50783,14656449,10862315,3794134
99年7月,21520483,28312,1855,26457,159644,92256,67388,5748372,5600103,148269,88015,835905,797736,38169,50973,14697277,10912589,3784688
99年8月,21560138,28410,1858,26552,159890,92391,67499,5762226,5603608,158618,87966,826622,798445,28177,50924,14732066,10957887,3774179
99年9月,21625041,28560,1859,26701,160126,92543,67583,5770642,5611466,159176,87822,828180,799741,28439,50877,14786656,11022229,3764427
99年10月,21663488,28804,1863,26941,160459,92814,67645,5780476,5621140,159336,87773,830669,801401,29268,50737,14812343,11057817,3754526
99年11月,21699848,28969,1857,27112,160793,93023,67770,5794558,5634352,160206,87740,831749,802636,29113,50581,14833198,11089568,3743630
99年12月,21721447,29030,1856,27174,161084,93304,67780,5803413,5642969,160444,87449,832466,803493,28973,50522,14844932,11112224,3732708
100年1月,21771805,29058,1854,27204,161350,93422,67928,5835808,5672582,163226,87805,834611,805050,29561,49979,14860999,11136536,3724463
100年2月,21796838,29080,1837,27243,161503,93494,68009,5839984,5676633,163351,87698,835426,805712,29714,49557,14881288,11164267,3717021
100年3月,21844934,29202,1853,27349,161835,93610,68225,5851587,5687156,164431,87587,837211,807292,29919,49504,14915595,11209998,3705597
100年4月,21874617,29301,1850,27451,162178,93687,68491,5859628,5694203,165425,87499,839061,808914,30147,49555,14934894,11239790,3695104
100年5月,21909693,29371,1857,27514,162465,93873,68592,5864421,5698376,166045,87258,840929,810588,30341,49699,14962808,11279060,3683748
100年6月,21962344,29375,1859,27516,162842,94075,68767,5879005,5711623,167382,87228,842296,812071,30225,49853,14998973,11325907,3673066
100年7月,22030389,29349,1873,27476,163201,94239,68962,5899701,5730627,169074,87323,843292,813024,30268,50038,15044808,11382834,3661974
100年8月,22068440,29421,1874,27547,163257,94312,68945,5904337,5735161,169176,87150,844004,813616,30388,50027,15077394,11427063,3650331
100年9月,22142021,29663,1870,27793,163487,94414,69073,5918810,5748739,170071,87117,845458,814889,30569,50183,15134420,11495587,3638833
100年10月,22176566,29792,1870,27922,163656,94578,69078,5931052,5760212,170840,87058,846290,815662,30628,50234,15155542,11530795,3624747
100年11月,22205436,29919,1873,28046,163965,94765,69200,5946034,5774273,171761,87041,847491,816620,30871,50006,15168021,11556703,3611318
100年12月,22226684,29991,1863,28128,164221,95003,69218,5960088,5787010,173078,87012,848732,817543,31189,50050,15173602,11572658,3600944
101年1月,22264616,30083,1855,28228,164238,95027,69211,5982471,5806984,175487,87177,850045,818282,31763,50002,15187777,11595196,3592581
101年2月,22290937,30120,1860,28260,164318,95083,69235,5985047,5809747,175300,87026,850878,818981,31897,49890,15210684,11629411,3581273
101年3月,22172862,30232,1840,28392,164517,95129,69388,5994728,5818428,176300,86948,852417,820543,31874,49861,15081107,11567628,3513479
101年4月,22153548,30245,1831,28414,164626,95149,69477,5997098,5819897,177201,86971,853194,821364,31830,49840,15058545,11571450,3487095
101年5月,22101725,30363,1826,28537,164906,95276,69630,6008298,5829761,178537,86962,854594,822629,31965,50023,14993541,11564600,3428941
101年6月,22142519,30483,1830,28653,165154,95401,69753,6022000,5842124,179876,86961,856184,823991,32193,50185,15018513,11601431,3417082
101年7月,22187830,30601,1837,28764,165177,95440,69737,6038637,5857797,180840,86943,857475,825026,32449,50276,15045664,11643397,3402267
101年8月,22225576,30595,1838,28757,165360,95608,69752,6047211,5866335,180876,86900,859058,826228,32830,50286,15073066,11685584,3387482
101年9月,22270837,30761,1779,28982,160732,91019,69713,6051343,5870431,180912,86805,858078,825173,32905,60752,15109171,11742215,3366956
101年10月,22304793,30806,1775,29031,160867,91098,69769,6062368,5881234,181134,86694,859484,826475,33009,60785,15130483,11778387,3352096
101年11月,22333087,30925,1771,29154,161031,91294,69737,6075969,5894618,181351,86678,860882,827838,33044,60846,15143434,11805067,3338367
101年12月,22346398,31098,1770,29328,161256,91468,69788,6091324,5909115,182209,86654,862230,828914,33316,60862,15139628,11820632,3318996
102年1月,22377730,31147,1743,29404,161339,91610,69729,6112783,5928734,184049,86930,864070,830482,33588,60695,15147696,11843790,3303906
102年2月,22391131,31203,1730,29473,161231,91618,69613,6117791,5933308,184483,86914,864593,830988,33605,60677,15155636,11866812,3288824
102年3月,22363757,31283,1724,29559,161392,91740,69652,6123813,5938849,184964,86935,866093,832298,33795,60632,15120544,11870879,3249665
102年4月,22335514,31332,1711,29621,161387,91749,69638,6126214,5941140,185074,86859,867042,833186,33856,60654,15088885,11871217,3217668
102年5月,22370531,31306,1712,29594,161498,91824,69674,6140588,5954814,185774,86929,868421,834662,33759,60580,15108138,11905333,3202805
102年6月,22419144,31372,1705,29667,161628,91972,69656,6154810,5967861,186949,87016,869542,835833,33709,60646,15141146,11952205,3188941
102年7月,22456107,31467,1705,29762,161763,92078,69685,6172793,5984553,188240,87117,870784,836971,33813,60727,15158573,11990367,3168206
102年8月,22237996,31557,1698,29859,161672,92042,69630,6173514,5985781,187733,87033,871362,837645,33717,60810,14939081,11899471,3039610
102年9月,21646304,31607,1700,29907,161714,92088,69626,6181202,5993104,188098,87037,871936,838218,33718,60843,14339002,11587575,2751427
102年10月,21629623,31713,1697,30016,161857,92194,69663,6195818,6007137,188681,87176,873289,839505,33784,60676,14306270,11590465,2715805
102年11月,21636581,31960,1693,30267,161931,92302,69629,6213870,6024758,189112,87165,874271,840507,33764,60823,14293726,11601338,2692388
102年12月,21562645,31960,1689,30271,162122,92449,69673,6236879,6046599,190280,87256,875544,841477,34067,61017,14195123,11562830,2632293
103年1月,21585998,32051,1680,30371,162105,92453,69652,6255592,6063977,191615,87464,876505,842350,34155,61046,14198699,11582317,2616382
103年2月,21583375,32125,1678,30447,162169,92530,69639,6257106,6065660,191446,87406,877054,842829,34225,60969,14193952,11599450,2594502
103年3月,21535010,32202,1670,30532,162302,92653,69649,6268489,6076304,192185,87433,878917,844562,34355,60957,14132143,11589796,2542347
103年4月,21548889,32244,1671,30573,162359,92659,69700,6280660,6087617,193043,87413,880536,846109,34427,60954,14132136,11609622,2522514
103年5月,21399173,32715,1660,31055,162607,92867,69740,6296208,6101614,194594,87507,882001,847473,34528,61172,13964470,11549740,2414730
103年6月,21309303,32453,1673,30780,162793,93042,69751,6316754,6120386,196368,87598,883824,849049,34775,61237,13852242,11527987,2324255
103年7月,21221473,32549,1669,30880,162950,93151,69799,6337829,6139823,198006,87668,885120,850235,34885,61327,13741698,11482452,2259246
