統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人,A1類肇事件數按肇事原因(件) - 機件故障,A1類肇事件數按肇事原因(件) - 行人(或乘客),A1類肇事件數按肇事原因(件) - 交通管制(設施),A1類肇事件數按肇事原因(件) - 其他
97年1月,20748261.0,6778218.0,13970043.0,14860.0,7.17,202.0,208.0,62.0,14658.0,19435.0,194.0,,8.0,,
97年2月,20770882.0,6773982.0,13996900.0,11917.0,5.74,170.0,179.0,62.0,11747.0,15596.0,164.0,,5.0,,1.0
97年3月,20802481.0,6772554.0,14029927.0,13579.0,6.53,176.0,178.0,97.0,13403.0,18078.0,169.0,2.0,4.0,1.0,
97年4月,20840003.0,6765322.0,14074681.0,13306.0,6.39,168.0,177.0,67.0,13138.0,17830.0,164.0,1.0,3.0,,
97年5月,20878856.0,6761686.0,14117170.0,14464.0,6.93,197.0,204.0,131.0,14267.0,19265.0,190.0,1.0,6.0,,
97年6月,20921117.0,6754041.0,14167076.0,13795.0,6.6,162.0,168.0,78.0,13633.0,18293.0,157.0,1.0,4.0,,
97年7月,20952496.0,6746332.0,14206164.0,13876.0,6.63,163.0,166.0,86.0,13713.0,18461.0,156.0,2.0,5.0,,
97年8月,20967476.0,6738391.0,14229085.0,13926.0,6.64,161.0,166.0,78.0,13765.0,18751.0,157.0,2.0,2.0,,
97年9月,21015079.0,6733873.0,14281206.0,13766.0,6.56,173.0,175.0,79.0,13593.0,18260.0,167.0,1.0,5.0,,
97年10月,21048631.0,6732746.0,14315885.0,15044.0,7.15,202.0,207.0,92.0,14842.0,20298.0,196.0,2.0,4.0,,
97年11月,21068657.0,6730807.0,14337850.0,14971.0,7.11,185.0,196.0,76.0,14786.0,19988.0,177.0,3.0,5.0,,
97年12月,21092358.0,6726916.0,14365442.0,16623.0,7.89,191.0,200.0,75.0,16432.0,22185.0,186.0,1.0,3.0,1.0,
98年1月,21096019.0,6733000.0,14363019.0,15502.0,7.35,206.0,212.0,89.0,15296.0,20423.0,199.0,1.0,6.0,,
98年2月,21100714.0,6724490.0,14376224.0,13322.0,6.31,159.0,163.0,70.0,13163.0,17735.0,154.0,,5.0,,
98年3月,21102535.0,6719612.0,14382923.0,14503.0,6.87,148.0,151.0,68.0,14355.0,19316.0,141.0,1.0,6.0,,
98年4月,21100834.0,6716563.0,14384271.0,14699.0,6.97,152.0,159.0,86.0,14547.0,19439.0,150.0,,2.0,,
98年5月,21104505.0,6718231.0,14386274.0,15708.0,7.44,173.0,186.0,68.0,15535.0,21279.0,169.0,,3.0,,1.0
