統計期,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
97年 1月,19384,2564,1481,1452,2921,1638,3355,389,321,272,1106,481,463,269,663,235,340,39,275,437,432,34,1,114,102
97年 2月,15560,1930,894,1164,2391,1393,2882,349,215,199,935,387,371,219,603,216,313,51,216,325,292,24,3,115,73
97年 3月,18080,2268,1324,1474,2481,1588,3333,382,306,224,1073,472,407,258,637,191,299,54,236,431,428,31,0,90,93
97年 4月,17791,2201,1446,1316,2475,1601,3169,408,304,230,1080,427,432,294,701,185,314,48,244,368,356,30,0,86,76
97年 5月,19280,2502,1403,1483,2622,1654,3513,416,317,294,1100,457,505,287,700,207,315,98,240,470,449,23,3,116,106
97年 6月,18273,2239,1513,1456,2433,1552,3021,537,301,265,1174,478,423,241,645,222,357,73,239,417,442,35,0,147,63
97年 7月,18463,2198,1580,1513,2445,1539,3264,569,335,293,1069,409,422,268,576,243,324,80,256,440,375,19,0,145,101
97年 8月,18737,2302,1585,1551,2516,1441,3293,560,361,302,1107,430,510,256,593,187,373,60,249,445,387,21,0,127,81
97年 9月,18234,1940,1592,1371,2793,1573,3258,485,342,233,1098,398,456,262,603,177,343,49,248,443,341,49,1,103,76
97年 10月,20276,2393,1436,1693,3049,1685,3604,505,413,313,1144,440,521,391,727,235,312,43,297,421,451,28,0,97,78
97年 11月,19961,2175,1625,1555,3162,1736,3409,443,387,281,1206,523,532,283,677,231,338,71,245,448,411,30,1,108,84
97年 12月,22153,2386,1971,1609,3336,1793,4004,520,421,304,1360,553,556,356,782,247,362,76,286,497,488,29,0,121,96
98年 1月,20405,2358,1529,1364,2809,1824,3777,489,346,273,1283,540,593,372,814,287,379,68,288,378,468,26,0,81,59
98年 2月,17717,2216,1351,1334,2497,1481,3203,424,321,274,1024,397,450,313,697,190,357,47,206,379,393,27,0,86,50
98年 3月,19295,2191,1619,1517,2808,1526,3509,414,346,297,1177,414,508,337,774,209,373,73,225,384,413,28,0,93,60
98年 4月,19435,2122,1575,1519,2692,1555,3726,413,398,331,1191,414,456,340,756,212,365,77,262,401,418,33,0,103,76
