統計期,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),總計車輛數,大客車,大貨車,小客車,小貨車,特種車,機車-重型,機車-輕型
2008-01,14860.0,7.17,202.0,208.0,62.0,14658.0,19435.0,20748261,27253,163722,5722284,812638,52321,9800152,4169891
2008-02,11917.0,5.74,170.0,179.0,62.0,11747.0,15596.0,20770882,27198,163540,5718482,812495,52267,9835867,4161033
2008-03,13579.0,6.53,176.0,178.0,97.0,13403.0,18078.0,20802481,27181,163544,5716314,813260,52255,9881834,4148093
2008-04,13306.0,6.39,168.0,177.0,67.0,13138.0,17830.0,20840003,27188,163416,5708745,813796,52177,9938340,4136341
2008-05,14464.0,6.93,197.0,204.0,131.0,14267.0,19265.0,20878856,27209,163063,5705184,814052,52178,9994893,4122277
2008-06,13795.0,6.6,162.0,168.0,78.0,13633.0,18293.0,20921117,27174,162909,5697282,814445,52231,10058515,4108561
2008-07,13876.0,6.63,163.0,166.0,86.0,13713.0,18461.0,20952496,27090,162406,5690489,814075,52272,10112287,4093877
2008-08,13926.0,6.64,161.0,166.0,78.0,13765.0,18751.0,20967476,27003,162150,5683539,813549,52150,10150028,4079057
2008-09,13766.0,6.56,173.0,175.0,79.0,13593.0,18260.0,21015079,27092,161982,5679515,813463,51821,10218501,4062705
2008-10,15044.0,7.15,202.0,207.0,92.0,14842.0,20298.0,21048631,27153,161802,5678741,813390,51660,10270131,4045754
2008-11,14971.0,7.11,185.0,196.0,76.0,14786.0,19988.0,21068657,27163,161462,5677398,813144,51640,10305826,4032024
2008-12,16623.0,7.89,191.0,200.0,75.0,16432.0,22185.0,21092358,27339,161231,5674426,812440,51480,10349865,4015577
2009-01,15502.0,7.35,206.0,212.0,89.0,15296.0,20423.0,21096019,27328,161056,5680882,812363,51371,10356586,4006433
2009-02,13322.0,6.31,159.0,163.0,70.0,13163.0,17735.0,21100714,27297,160635,5672975,812364,51219,10383006,3993218
2009-03,14503.0,6.87,148.0,151.0,68.0,14355.0,19316.0,21102535,27236,160313,5668581,812374,51108,10403879,3979044
2009-04,14699.0,6.97,152.0,159.0,86.0,14547.0,19439.0,21100834,27228,160009,5665267,812970,51089,10420520,3963751
2009-05,15708.0,7.44,173.0,186.0,68.0,15535.0,21279.0,21104505,27255,159850,5666648,813378,51100,10434869,3951405
2009-06,15215.0,7.21,155.0,163.0,50.0,15060.0,20263.0,21112547,27276,159613,5670190,814248,51194,10453560,3936466
2009-07,15858.0,7.51,154.0,158.0,80.0,15704.0,21313.0,21133412,27253,159447,5677167,814868,51430,10480534,3922713
2009-08,14653.0,6.93,168.0,171.0,65.0,14485.0,19410.0,21150779,27220,159199,5676142,815044,51390,10512466,3909318
2009-09,15552.0,7.35,164.0,168.0,66.0,15388.0,20650.0,21188050,27212,159145,5674613,815760,51202,10565655,3894463
2009-10,16294.0,7.68,181.0,195.0,110.0,16113.0,21823.0,21217369,27218,159065,5680099,816976,51482,10601303,3881226
2009-11,16197.0,7.63,166.0,170.0,55.0,16031.0,21567.0,21253591,27323,159038,5689014,818236,51472,10640644,3867864
2009-12,17246.0,8.09,190.0,196.0,86.0,17056.0,22883.0,21374175,27667,158812,5704312,827955,51099,10749348,3854982
2010-01,18195.0,8.51,197.0,218.0,87.0,17998.0,24011.0,21376174,27688,158872,5713317,828976,50922,10750532,3845867
2010-02,14875.0,6.96,144.0,153.0,42.0,14731.0,19692.0,21384396,27781,158833,5716291,829216,50814,10763046,3838415
2010-03,17924.0,8.38,172.0,176.0,51.0,17752.0,23833.0,21388404,27808,158847,5715207,830192,50679,10779434,3826237
2010-04,17304.0,8.09,153.0,160.0,66.0,17151.0,22903.0,21400398,27945,158988,5717089,831554,50731,10798995,3815096
2010-05,18329.0,8.56,135.0,136.0,48.0,18194.0,24482.0,21425078,28016,159177,5722492,833284,50816,10827190,3804103
2010-06,17736.0,8.27,145.0,149.0,48.0,17591.0,23452.0,21461681,28109,159487,5732501,834352,50783,10862315,3794134
2010-07,19076.0,8.88,157.0,163.0,76.0,18919.0,25727.0,21520483,28312,159644,5748372,835905,50973,10912589,3784688
2010-08,18940.0,8.79,174.0,176.0,61.0,18766.0,25421.0,21560138,28410,159890,5762226,826622,50924,10957887,3774179
2010-09,18567.0,8.6,180.0,182.0,73.0,18387.0,24750.0,21625041,28560,160126,5770642,828180,50877,11022229,3764427
2010-10,18978.0,8.77,173.0,174.0,64.0,18805.0,25395.0,21663488,28804,160459,5780476,830669,50737,11057817,3754526
2010-11,19256.0,8.88,155.0,165.0,81.0,19101.0,25783.0,21699848,28969,160793,5794558,831749,50581,11089568,3743630
2010-12,20471.0,9.43,188.0,195.0,77.0,20283.0,27541.0,21721447,29030,161084,5803413,832466,50522,11112224,3732708
2011-01,20306.0,9.34,179.0,183.0,63.0,20127.0,26304.0,21771805,29058,161350,5835808,834611,49979,11136536,3724463
2011-02,16180.0,7.43,140.0,145.0,59.0,16040.0,21509.0,21796838,29080,161503,5839984,835426,49557,11164267,3717021
2011-03,18992.0,8.7,157.0,164.0,60.0,18835.0,25166.0,21844934,29202,161835,5851587,837211,49504,11209998,3705597
2011-04,18722.0,8.56,175.0,187.0,89.0,18547.0,25095.0,21874617,29301,162178,5859628,839061,49555,11239790,3695104
2011-05,19549.0,8.93,152.0,156.0,61.0,19397.0,26158.0,21909693,29371,162465,5864421,840929,49699,11279060,3683748
2011-06,20084.0,9.16,160.0,164.0,91.0,19924.0,27077.0,21962344,29375,162842,5879005,842296,49853,11325907,3673066
2011-07,20219.0,9.19,159.0,166.0,67.0,20060.0,27020.0,22030389,29349,163201,5899701,843292,50038,11382834,3661974
2011-08,19662.0,8.92,173.0,176.0,67.0,19489.0,26358.0,22068440,29421,163257,5904337,844004,50027,11427063,3650331
2011-09,19463.0,8.8,176.0,185.0,88.0,19287.0,26245.0,22142021,29663,163487,5918810,845458,50183,11495587,3638833
2011-10,20167.0,9.1,172.0,178.0,73.0,19995.0,27267.0,22176566,29792,163656,5931052,846290,50234,11530795,3624747
2011-11,20549.0,9.26,208.0,219.0,80.0,20341.0,27310.0,22205436,29919,163965,5946034,847491,50006,11556703,3611318
2011-12,21883.0,9.85,186.0,194.0,60.0,21697.0,28834.0,22226684,29991,164221,5960088,848732,50050,11572658,3600944
2012-01,21104.0,9.49,175.0,181.0,102.0,20929.0,27979.0,22264616,30083,164238,5982471,850045,50002,11595196,3592581
2012-02,19218.0,8.63,160.0,166.0,76.0,19058.0,25258.0,22290937,30120,164318,5985047,850878,49890,11629411,3581273
2012-03,21416.0,9.63,173.0,177.0,77.0,21243.0,28501.0,22172862,30232,164517,5994728,852417,49861,11567628,3513479
2012-04,20072.0,9.06,142.0,144.0,54.0,19930.0,26834.0,22153548,30245,164626,5997098,853194,49840,11571450,3487095
2012-05,20299.0,9.17,162.0,166.0,89.0,20137.0,27096.0,22101725,30363,164906,6008298,854594,50023,11564600,3428941
2012-06,19037.0,8.61,157.0,164.0,53.0,18880.0,25246.0,22142519,30483,165154,6022000,856184,50185,11601431,3417082
2012-07,21050.0,9.5,151.0,156.0,51.0,20899.0,28175.0,22187830,30601,165177,6038637,857475,50276,11643397,3402267
2012-08,19110.0,8.61,174.0,181.0,60.0,18936.0,25347.0,22225576,30595,165360,6047211,859058,50286,11685584,3387482
2012-09,20378.0,9.16,164.0,169.0,67.0,20214.0,27614.0,22270837,30761,160732,6051343,858078,60752,11742215,3366956
2012-10,22801.0,10.23,165.0,171.0,64.0,22636.0,31106.0,22304793,30806,160867,6062368,859484,60785,11778387,3352096
2012-11,21670.0,9.71,162.0,169.0,94.0,21508.0,29129.0,22333087,30925,161031,6075969,860882,60846,11805067,3338367
2012-12,23310.0,10.43,179.0,196.0,75.0,23131.0,30935.0,22346398,31098,161256,6091324,862230,60862,11820632,3318996
2013-01,23657.0,10.58,166.0,171.0,56.0,23491.0,31403.0,22377730,31147,161339,6112783,864070,60695,11843790,3303906
2013-02,19134.0,8.55,156.0,163.0,73.0,18978.0,25729.0,22391131,31203,161231,6117791,864593,60677,11866812,3288824
2013-03,22623.0,10.11,163.0,166.0,76.0,22460.0,30286.0,22363757,31283,161392,6123813,866093,60632,11870879,3249665
2013-04,20639.0,9.23,147.0,148.0,49.0,20492.0,27403.0,22335514,31332,161387,6126214,867042,60654,11871217,3217668
2013-05,22836.0,10.22,137.0,142.0,48.0,22699.0,30347.0,22370531,31306,161498,6140588,868421,60580,11905333,3202805
2013-06,22984.0,10.26,150.0,157.0,76.0,22834.0,31073.0,22419144,31372,161628,6154810,869542,60646,11952205,3188941
2013-07,23430.0,10.44,158.0,166.0,67.0,23272.0,31281.0,22456107,31467,161763,6172793,870784,60727,11990367,3168206
2013-08,23184.0,10.37,137.0,141.0,67.0,23047.0,30623.0,22237996,31557,161672,6173514,871362,60810,11899471,3039610
2013-09,22538.0,10.27,163.0,169.0,56.0,22375.0,30383.0,21646304,31607,161714,6181202,871936,60843,11587575,2751427
2013-10,25145.0,11.62,160.0,167.0,55.0,24985.0,34290.0,21629623,31713,161857,6195818,873289,60676,11590465,2715805
2013-11,25371.0,11.73,159.0,161.0,69.0,25212.0,34345.0,21636581,31960,161931,6213870,874271,60823,11601338,2692388
2013-12,26847.0,12.43,171.0,177.0,84.0,26676.0,35629.0,21562645,31960,162122,6236879,875544,61017,11562830,2632293
2014-01,27242.0,12.63,199.0,204.0,98.0,27043.0,36156.0,21585998,32051,162105,6255592,876505,61046,11582317,2616382
2014-02,21214.0,9.83,122.0,125.0,54.0,21092.0,28142.0,21583375,32125,162169,6257106,877054,60969,11599450,2594502
2014-03,23843.0,11.06,137.0,139.0,67.0,23706.0,31831.0,21535010,32202,162302,6268489,878917,60957,11589796,2542347
2014-04,24181.0,11.23,134.0,138.0,83.0,24047.0,32720.0,21548889,32244,162359,6280660,880536,60954,11609622,2522514
2014-05,24869.0,11.58,121.0,127.0,53.0,24748.0,32989.0,21399173,32715,162607,6296208,882001,61172,11549740,2414730
2014-06,25285.0,11.84,143.0,145.0,54.0,25142.0,33737.0,21309303,32453,162793,6316754,883824,61237,11527987,2324255
2014-07,26230.0,12.32,161.0,163.0,63.0,26069.0,35241.0,21221473,32549,162950,6337829,885120,61327,11482452,2259246
2014-08,25134.0,11.81,152.0,153.0,80.0,24982.0,33558.0,21275956,32594,163044,6343914,886439,61114,11532803,2256048
2014-09,25626.0,12.03,134.0,138.0,45.0,25492.0,34443.0,21287195,32682,163124,6357235,887829,61259,11562440,2222626
2014-10,27448.0,12.87,155.0,160.0,66.0,27293.0,37266.0,21332084,32784,163236,6371539,889016,61329,11601619,2212561
2014-11,26901.0,12.61,139.0,145.0,48.0,26762.0,36711.0,21339005,32858,163353,6388582,890141,61388,11610331,2192352
2014-12,29869.0,14.01,173.0,182.0,82.0,29696.0,39642.0,21290279,32928,163446,6405778,890703,61464,11586845,2149115
2015-01,26930.0,12.64,139.0,144.0,59.0,26791.0,36035.0,21307386,32967,163510,6430741,892049,61268,11596935,2129916
2015-02,21803.0,10.23,120.0,123.0,47.0,21683.0,29229.0,21314434,33107,163670,6439800,892449,61156,11610224,2114028
2015-03,24880.0,11.67,149.0,153.0,52.0,24731.0,33364.0,21319343,33183,163792,6447552,893732,61088,11636967,2083029
2015-04,24302.0,11.39,128.0,135.0,39.0,24174.0,32700.0,21338503,33292,163950,6456229,895061,60999,11661620,2067352
2015-05,24729.0,11.58,132.0,135.0,69.0,24597.0,32742.0,21355223,33374,164291,6471134,896564,61020,11681898,2046942
2015-06,26660.0,12.48,124.0,128.0,63.0,26536.0,35844.0,21355294,33412,164561,6490096,898200,61103,11695782,2012140
2015-07,24584.0,11.52,129.0,141.0,61.0,24455.0,32851.0,21340769,33472,164790,6512471,899079,61327,11700298,1969332
