統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),統計期_y,總計,大客車,大貨車,小客車,小客車-自用,小貨車,特種車,機車,機車-重型,機車-輕型
97年1月,20748261.0,6778218.0,13970043.0,14860.0,7.17,202.0,208.0,62.0,14658.0,19435.0,97年1月,20748261,27253,163722,5722284,5576475,812638,52321,13970043,9800152,4169891
97年2月,20770882.0,6773982.0,13996900.0,11917.0,5.74,170.0,179.0,62.0,11747.0,15596.0,97年2月,20770882,27198,163540,5718482,5572815,812495,52267,13996900,9835867,4161033
97年3月,20802481.0,6772554.0,14029927.0,13579.0,6.53,176.0,178.0,97.0,13403.0,18078.0,97年3月,20802481,27181,163544,5716314,5570626,813260,52255,14029927,9881834,4148093
97年4月,20840003.0,6765322.0,14074681.0,13306.0,6.39,168.0,177.0,67.0,13138.0,17830.0,97年4月,20840003,27188,163416,5708745,5563024,813796,52177,14074681,9938340,4136341
97年5月,20878856.0,6761686.0,14117170.0,14464.0,6.93,197.0,204.0,131.0,14267.0,19265.0,97年5月,20878856,27209,163063,5705184,5559436,814052,52178,14117170,9994893,4122277
97年6月,20921117.0,6754041.0,14167076.0,13795.0,6.6,162.0,168.0,78.0,13633.0,18293.0,97年6月,20921117,27174,162909,5697282,5551394,814445,52231,14167076,10058515,4108561
97年7月,20952496.0,6746332.0,14206164.0,13876.0,6.63,163.0,166.0,86.0,13713.0,18461.0,97年7月,20952496,27090,162406,5690489,5544211,814075,52272,14206164,10112287,4093877
97年8月,20967476.0,6738391.0,14229085.0,13926.0,6.64,161.0,166.0,78.0,13765.0,18751.0,97年8月,20967476,27003,162150,5683539,5537751,813549,52150,14229085,10150028,4079057
97年9月,21015079.0,6733873.0,14281206.0,13766.0,6.56,173.0,175.0,79.0,13593.0,18260.0,97年9月,21015079,27092,161982,5679515,5533884,813463,51821,14281206,10218501,4062705
97年10月,21048631.0,6732746.0,14315885.0,15044.0,7.15,202.0,207.0,92.0,14842.0,20298.0,97年10月,21048631,27153,161802,5678741,5533371,813390,51660,14315885,10270131,4045754
97年11月,21068657.0,6730807.0,14337850.0,14971.0,7.11,185.0,196.0,76.0,14786.0,19988.0,97年11月,21068657,27163,161462,5677398,5532626,813144,51640,14337850,10305826,4032024
97年12月,21092358.0,6726916.0,14365442.0,16623.0,7.89,191.0,200.0,75.0,16432.0,22185.0,97年12月,21092358,27339,161231,5674426,5530314,812440,51480,14365442,10349865,4015577
98年1月,21096019.0,6733000.0,14363019.0,15502.0,7.35,206.0,212.0,89.0,15296.0,20423.0,98年1月,21096019,27328,161056,5680882,5536675,812363,51371,14363019,10356586,4006433
98年2月,21100714.0,6724490.0,14376224.0,13322.0,6.31,159.0,163.0,70.0,13163.0,17735.0,98年2月,21100714,27297,160635,5672975,5529353,812364,51219,14376224,10383006,3993218
