,true value,Multi-LinearRegression predict,Decision_Tree predict,XGB_Regression predict
2017-12,140.0,135.8141413189698,139.5,132.81052
2018-01,127.0,122.07070479723679,125.0,122.48796
2018-02,81.0,77.26864363029026,106.5,109.87534
2018-03,117.0,114.49011101527694,120.57142857142857,112.72813
2018-04,115.0,109.34695272656145,111.0,112.58884
2018-05,111.0,106.91080522366926,106.5,109.25018
2018-06,120.0,117.0259562860366,124.0,118.22108
2018-07,116.0,110.49060515495523,111.0,112.70435
2018-08,134.0,124.81551694867906,129.0,130.4909
2018-09,132.0,124.29916944813377,129.0,130.47372
2018-10,111.0,107.06971749858027,111.0,111.673965
2018-11,143.0,132.16149635826275,112.0,125.350075
2018-12,150.0,143.98158181397298,153.0,139.86427
2019-01,199.0,188.2131570461527,197.66666666666666,195.6477
2019-02,137.0,125.80441521083318,129.0,125.75711
2019-03,146.0,136.84883056701466,145.5,139.87454
2019-04,141.0,130.12048511829335,112.0,125.65406
2019-05,136.0,126.7699111270284,129.0,125.779
2019-06,159.0,147.73335609043812,157.45454545454547,157.58994
2019-07,136.0,125.58501821811942,129.0,125.805626
2019-08,139.0,129.09969316995551,112.0,125.78233
2019-09,138.0,127.15230052374632,112.0,125.61013
2019-10,168.0,155.02467816589171,165.66666666666666,167.94865
2019-11,133.0,124.75956062892679,129.0,129.97964
2019-12,182.0,169.5786938897863,175.625,172.84021
2020-01,187.0,173.69496071716037,185.0,172.86687
2020-02,170.0,152.5630660513082,165.66666666666666,167.96536
2020-03,148.0,138.83161752769593,145.5,139.99524
2020-04,135.0,125.26519612506539,129.0,127.11763
2020-05,136.0,125.14439631518755,129.0,127.11039
2020-06,168.0,157.43141318145504,172.27272727272728,171.66544
2020-07,144.0,134.21933451161502,145.5,132.29533
2020-08,130.0,120.76091534982878,129.0,126.94805
2020-09,135.0,125.28202961117239,129.0,127.123055
2020-10,153.0,142.42060428687785,153.0,155.49426
2020-11,143.0,134.66089967196177,139.5,132.27573
2020-12,157.0,149.88640591072053,157.45454545454547,157.5363
2021-01,176.0,165.58039498978061,172.27272727272728,169.46088
2021-02,163.0,156.3727107076091,172.27272727272728,169.144
2021-03,145.0,139.03219067491736,145.5,142.46552
2021-04,136.0,124.72326003908947,129.0,129.49123
2021-05,162.0,148.53200095107812,160.75,156.6082
2021-06,121.0,106.55271063666402,120.57142857142857,121.6257
2021-07,143.0,128.44901350359424,145.5,134.54208
2021-08,131.0,119.14496250658448,129.0,135.60306
2021-09,148.0,135.29083709072393,145.5,141.89317
2021-10,164.0,149.8076455483848,157.45454545454547,156.77368
2021-11,159.0,149.70651007947248,157.45454545454547,157.77144
2021-12,158.0,149.99234044849172,157.45454545454547,155.06638
2022-01,166.0,152.8959020311379,163.33333333333334,160.11763
2022-02,124.0,113.68849142702882,129.0,129.64195
2022-03,161.0,149.26960076294668,160.75,157.65486
