,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2008-01,647.0305239479886,497.29317274359795,436.1732509053352,604.5290635994518,858.2769677791557,667.2558621475052,902.6210727304288,638.6875188727818,555.9785827380737,399.8593351981535,636.074718997254,706.5124707884266,528.0020292923946,386.4618600246029,570.0991432770468,766.2376021471775,760.3521508352221,324.5945273362691,540.7261619205774,885.8881028230802,1200.8625707978047,354.0773842228001,100.46212577858148
2008-02,518.7253450936034,375.495993920541,269.1026793960849,470.4447714860948,695.786506952501,564.5718342810585,792.5583399952345,599.2392267208588,384.4760256048955,299.91484560633677,540.1486397763937,573.5696840305828,398.38605400681257,323.1903609382688,496.11600789735684,706.6653532684344,687.7619178066224,389.6778662971943,430.6764696834528,625.0671947234327,826.975501765556,255.90095414498614,200.92425155716296
2008-03,590.9359931763191,430.22689540966036,385.6961816078021,584.5318642030418,719.6366198909246,628.0806017172525,902.0950298360248,599.1455663228093,504.7813452121188,319.561825394275,617.8414658364866,646.8911722793069,435.6349379220214,354.3238410884829,530.1045352637692,630.06300630063,664.6726487205051,443.9006961662138,443.68644448148956,819.1194465949104,1148.4079554681043,303.6818386113237,0.0
2008-04,578.9424540946843,425.86394421996755,415.8168520611821,526.8096141982144,690.135087340557,638.628301227342,855.8083972628593,648.6012772455921,485.96817109292635,323.2604657808258,604.4140495056213,605.8105294746516,470.02650618684453,425.5876383159824,560.8651288300443,523.2099358424538,685.3349975794551,367.90564302331876,461.85820952967435,715.5180150981781,1005.5359323694814,265.80320896965014,0.0
2008-05,629.1861279074847,480.719372518132,424.25152489151367,598.3261273534333,742.9366503044624,655.1252058621416,937.8678799413417,700.775409074933,549.3436946771803,426.89167489787644,635.0589066630929,647.4216666697943,527.9350708783847,400.397485503791,573.6665633540897,644.078130971141,709.0749927049898,648.943303986675,464.5790554414785,880.9805263485348,1147.3463049237234,192.5900960543104,100.4217714400482
2008-06,599.932278757196,423.76850641674736,437.991005215971,578.7474281461425,691.9780249188551,627.8356128664088,845.8820905433636,845.8365323304748,486.6111836466602,384.0307510391158,674.0274013082986,698.2479981680375,449.5082297235249,324.0694382492968,536.7698633041117,722.0744166455346,791.2039145616556,550.7440444050885,469.90188551341276,800.2624463177987,1165.130812413939,348.45298888555124,0.0
2008-07,603.282655880156,426.2364527061034,454.9779187347049,604.7215508797724,703.0406124400744,616.5017319745364,881.5718943747472,863.1046611988913,539.9730013499326,400.061438006551,602.5578619327406,617.706974080715,440.0036414094461,355.1899628780952,460.22961848318243,757.1455612341473,747.6635514018691,614.4293891278337,503.5803017884808,841.8281826196004,1032.971124259491,192.009984519195,0.0
2008-08,605.3449007559942,434.23591371957633,445.5252132999558,605.6009628081015,722.9545122978649,561.9568062477632,891.296844136904,871.5107052732901,601.2844714789401,400.06858318568896,626.2179634660478,649.860449042301,532.6797656209031,362.63972563297943,486.35003887415047,594.1668317130088,798.2386119420005,473.5918714413338,470.2750209439422,788.5496637505207,1014.3245984661077,179.64717295232163,0.0
2008-09,598.3204693273398,368.93388312331575,465.5094125545715,539.8702365031161,787.6396695502245,634.5916552265674,887.6879559972791,815.4519468915232,564.5187029235287,325.0237963850925,612.6055011059663,578.866849348023,512.1946505341458,402.8054212870818,522.7857820333319,577.319942957343,757.6577551683082,311.8816140411254,485.75254377555666,815.0867856842021,915.9514217317686,418.5651586361951,101.7087062652563
2008-10,653.6249573507977,449.131069935825,433.93062982094835,639.1241185178666,854.3792757122753,652.0847485868827,948.9195109559371,874.1675885555628,663.3307570336964,424.8732967133016,655.182685502407,659.732272749486,557.7714545271299,515.8557280948154,585.0178949971935,732.55969284203,710.9587117311114,322.2203127685169,570.7292994940561,794.3401409025782,1182.1107243711826,274.6760613841285,0.0
2008-11,650.1308512645134,418.60693461688714,479.38218048338655,608.7351189563489,890.7891033917863,679.1222238476545,925.8245817082637,759.1482790108515,616.7619995026113,413.9922233702179,689.2885323714268,749.9168325317305,571.6352911611929,393.7208810598383,543.3088298415481,711.0383314300489,749.1754680151826,482.9310696386603,496.0993226830491,805.4891864312134,1065.444567692218,309.1263613449375,101.96798205363515
2008-12,721.577359513038,453.0835504847759,583.6999408674978,646.8622331501833,944.7149316024864,713.2922763153329,1064.2623798596921,904.7476470052203,689.4866205816724,442.5434111888536,782.2169414327442,818.0489813879752,588.6628509522244,470.1757327360765,609.1510536391972,754.801616569405,831.7883742930532,546.5769280233206,529.5915717815101,920.1447562849834,1311.2095634293062,283.7885775097552,0.0
2009-01,672.606133329619,455.033870834492,450.7854421472947,542.2539809502044,808.2411651470564,742.9749635584658,1030.3747545910164,830.7791754245542,581.7474263136472,417.39800505158615,738.6857333892805,759.669806885918,617.6592510708857,510.2031519621866,667.908305569745,884.1427912172275,840.4001124437781,513.6656464696188,573.1660613724629,751.3592211484217,1252.6797485875397,282.8820970992798,0.0
2009-02,578.0625939747604,415.84155837730657,405.30127967582007,517.3754030048552,718.1402376335947,588.2899340496022,863.9634803034016,720.5768087129022,527.6008639960013,401.392922639988,575.029989146785,571.7155038336911,463.05959369630756,412.1440242763772,583.3909940711194,655.7546787233491,797.0392336702191,426.88978772905307,429.54111119970577,688.8560315496062,1033.3520772932748,222.07936415171525,0.0
