,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2008-01,14860,1890,1147,1171,2239,1248,2496,294,276,224,836,377,383,213,507,179,261,30,211,354,328,29,1,78,88
2008-02,11917,1428,708,912,1816,1056,2192,276,191,168,710,306,289,178,441,165,236,36,168,250,226,21,2,74,68
2008-03,13579,1637,1015,1134,1879,1175,2495,276,251,179,812,345,316,195,471,147,228,41,173,328,314,25,0,63,80
2008-04,13306,1621,1094,1023,1803,1195,2367,299,242,181,794,323,341,234,498,122,235,34,180,287,275,22,0,62,74
2008-05,14464,1831,1116,1163,1942,1226,2594,323,274,239,834,345,383,220,509,150,243,60,181,354,314,16,1,63,83
2008-06,13795,1615,1152,1126,1810,1175,2340,390,243,215,885,372,326,178,476,168,271,51,183,322,319,29,0,94,55
2008-07,13876,1626,1196,1178,1840,1154,2439,398,270,224,791,329,319,195,408,176,256,57,196,339,283,16,0,98,88
2008-08,13926,1658,1170,1181,1893,1052,2466,402,301,224,822,346,386,199,431,138,273,44,183,318,278,15,0,73,73
2008-09,13766,1410,1221,1054,2063,1188,2456,376,283,182,804,308,371,221,463,134,259,29,189,329,251,35,1,71,68
2008-10,15044,1718,1138,1249,2239,1221,2626,403,333,238,860,351,404,283,518,170,243,30,222,321,324,23,0,65,65
2008-11,14971,1603,1257,1191,2336,1272,2563,350,310,232,905,399,414,216,481,165,256,45,193,326,292,26,1,66,72
2008-12,16623,1737,1531,1267,2479,1336,2947,417,347,248,1027,435,426,258,539,175,284,51,206,373,359,24,0,73,84
2009-01,15501,1746,1182,1063,2122,1392,2854,383,293,234,970,404,447,280,591,205,287,48,223,305,343,24,0,56,49
2009-02,13324,1597,1062,1015,1886,1102,2393,332,266,225,755,304,335,226,516,152,272,40,167,280,283,19,0,48,49
2009-03,14501,1598,1244,1189,2103,1111,2587,335,281,238,868,323,399,250,564,157,277,45,178,310,299,23,0,66,56
2009-04,14699,1555,1216,1179,2073,1161,2745,324,330,268,874,328,363,248,552,160,279,48,203,317,316,30,0,64,66
2009-05,15708,1701,1369,1319,2021,1229,2844,378,337,272,937,355,384,258,653,182,309,66,210,360,356,34,0,73,61
2009-06,15214,1324,1357,1352,2072,1105,2704,395,330,261,946,368,420,264,617,185,307,54,233,398,339,25,0,74,84
2009-07,15858,1517,1516,1367,2061,1134,2751,468,393,288,969,338,440,243,590,168,336,67,223,439,356,27,0,87,80
2009-08,14653,1451,1253,1256,1943,1143,2438,438,377,289,921,334,369,245,538,165,319,61,207,401,299,37,0,94,75
2009-09,15553,1566,1158,1358,2246,1140,2704,404,418,309,925,355,420,246,622,151,322,52,214,450,305,34,0,62,92
2009-10,16294,1470,1186,1428,2419,1287,2911,374,436,336,1039,388,436,319,688,172,316,45,219,390,256,33,0,63,83
2009-11,16198,1328,1445,1450,2475,1190,2799,403,418,329,1058,398,479,316,549,168,320,45,207,430,187,52,0,72,80
2009-12,17246,1622,1338,1511,2525,1340,3225,369,438,351,1096,391,453,289,519,206,370,49,229,495,202,34,0,84,110
2010-01,18195,1497,1596,1503,3587,1446,2753,433,430,332,1069,370,460,303,809,221,264,52,188,427,230,33,0,95,97
2010-02,14875,1235,1089,1081,2843,1237,2367,341,328,278,914,306,381,260,741,191,301,25,155,355,270,19,0,64,94
2010-03,17924,1647,1365,1500,3541,1405,2742,365,437,339,1038,368,458,292,792,143,301,50,196,433,317,24,0,60,111
2010-04,17304,1543,1559,1335,3337,1306,2626,395,366,307,1037,341,452,286,848,143,305,41,159,422,315,19,0,65,97
2010-05,18329,1434,1623,1455,3537,1330,2886,430,432,285,1044,410,504,317,870,185,326,55,214,474,308,24,0,86,100
