,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2008-01,322,17,8,20,50,35,35,16,6,11,16,11,19,7,33,4,10,1,1,7,6,0,0,5,4
2008-02,281,16,9,10,35,28,43,13,6,6,15,12,19,9,22,8,8,0,3,4,0,1,0,12,2
2008-03,274,20,6,19,29,25,30,9,5,12,21,12,16,15,19,6,6,2,2,4,4,1,0,8,3
2008-04,286,22,9,16,24,42,25,5,9,10,18,5,19,24,21,8,7,1,2,3,2,1,0,9,4
2008-05,321,27,10,18,37,24,32,6,15,9,24,17,24,12,28,10,8,0,2,5,4,0,0,8,1
2008-06,267,15,6,28,29,25,38,4,7,10,12,8,19,11,14,6,10,0,3,2,1,1,0,16,2
2008-07,251,21,6,15,22,28,31,10,3,10,19,3,21,12,18,6,8,1,0,4,1,0,0,9,3
2008-08,259,23,11,21,25,26,29,6,12,2,21,12,13,14,18,3,2,1,2,6,4,0,0,7,1
2008-09,283,24,10,19,29,33,32,8,9,3,29,13,14,11,17,6,7,0,2,6,1,0,0,9,1
2008-10,322,30,17,18,24,33,32,13,7,13,30,19,15,12,23,8,9,1,3,2,5,0,0,8,0
2008-11,301,23,12,23,36,35,37,11,13,9,19,7,13,9,19,3,11,0,1,4,2,0,0,11,3
2008-12,307,23,11,19,31,37,34,13,12,12,22,14,19,8,23,7,9,0,4,1,1,0,0,7,0
2009-01,318,34,17,16,39,28,31,4,9,8,25,12,18,15,21,8,9,1,1,6,1,1,0,10,4
2009-02,252,26,12,8,26,24,34,6,4,12,20,7,14,13,19,7,5,2,2,1,2,1,0,5,2
2009-03,236,14,6,17,26,21,38,11,1,7,12,14,10,7,17,5,12,0,5,7,1,1,0,3,1
2009-04,249,22,11,14,25,33,22,7,5,5,23,7,19,7,22,5,6,1,4,4,4,1,0,2,0
2009-05,273,10,11,16,24,39,35,8,8,13,16,4,18,11,24,10,5,2,3,2,5,1,0,4,4
2009-06,261,19,7,15,35,20,34,13,6,10,26,12,12,4,19,11,8,1,3,0,1,0,0,4,1
2009-07,266,17,15,23,23,31,38,11,9,5,11,3,19,9,19,6,7,1,2,3,3,0,0,10,1
2009-08,262,23,12,17,25,30,22,6,15,6,22,2,12,18,16,1,14,0,0,5,3,0,0,8,5
2009-09,264,18,8,16,24,20,37,7,9,6,21,11,15,15,14,5,14,1,4,5,5,0,0,9,0
2009-10,302,26,9,13,30,33,31,7,6,6,28,11,16,16,20,4,7,1,5,3,5,1,0,22,2
2009-11,266,17,16,18,26,22,39,7,11,6,19,9,17,16,17,3,7,0,4,5,2,0,0,4,1
2009-12,283,28,9,25,15,39,41,14,5,13,12,6,10,17,18,4,5,1,3,6,3,1,0,6,2
2010-01,322,23,14,22,34,27,48,8,12,9,20,15,17,12,26,5,6,1,7,2,1,0,0,12,1
2010-02,252,21,7,10,30,20,32,9,5,9,16,10,16,13,12,8,6,0,3,6,5,0,0,11,3
2010-03,280,13,24,13,29,34,44,10,7,11,20,8,10,7,29,2,6,0,0,2,2,1,0,5,3
2010-04,260,21,15,21,28,24,33,7,4,9,19,6,8,8,20,7,8,2,4,5,4,0,0,7,0
2010-05,234,19,10,11,20,22,38,6,9,7,19,6,13,8,18,4,10,0,1,2,6,0,0,4,1
2010-06,251,25,9,16,32,26,30,6,2,7,17,4,12,8,22,8,4,1,0,5,3,1,0,10,3
2010-07,277,19,8,24,31,37,21,12,7,8,18,9,18,13,22,6,7,1,1,2,1,0,0,9,3
2010-08,263,19,15,24,29,19,30,3,15,7,19,6,19,5,23,8,7,0,1,2,3,0,0,3,6
2010-09,298,18,6,20,36,27,30,7,13,12,26,7,25,9,23,7,10,1,6,1,3,2,0,7,2
2010-10,272,28,15,12,34,28,20,11,6,12,20,11,17,15,18,4,4,0,2,2,3,1,0,5,4
2010-11,261,20,15,22,36,20,18,10,9,7,14,8,13,13,20,9,6,1,3,3,3,1,0,9,1
2010-12,327,29,14,32,34,35,44,4,9,14,25,7,22,12,22,9,7,0,1,1,2,1,0,2,1
2011-01,289,22,21,19,33,29,28,11,8,11,17,8,13,8,33,4,8,2,1,5,1,0,0,5,2
2011-02,226,14,10,7,29,19,29,7,11,8,11,8,15,10,19,7,7,0,3,4,1,1,0,5,1
2011-03,246,24,14,15,27,29,21,6,6,13,19,5,11,13,12,10,5,1,0,4,4,0,0,5,2
2011-04,302,21,11,17,36,42,29,14,8,11,17,5,22,9,21,10,10,1,3,1,1,0,0,9,4
2011-05,268,16,7,12,35,25,37,7,10,12,12,12,20,10,21,5,2,2,5,4,0,1,0,12,1
2011-06,260,15,11,15,21,28,35,14,8,13,19,8,12,13,17,4,3,0,3,7,2,2,0,9,1
2011-07,263,24,8,11,35,21,28,6,8,7,17,9,18,15,22,4,7,4,2,6,1,1,0,5,4
2011-08,286,18,11,17,32,21,32,10,15,15,19,8,17,9,19,9,9,2,5,8,3,2,0,3,2
2011-09,277,22,13,16,29,33,35,8,12,7,16,9,14,14,18,6,4,1,3,5,2,0,0,7,3
2011-10,270,26,8,18,36,29,25,8,9,8,19,6,16,7,15,6,11,1,5,6,2,0,0,4,5
2011-11,334,35,12,28,35,33,40,9,9,8,20,15,23,8,25,9,5,0,1,4,4,1,0,5,5
2011-12,322,27,14,20,34,37,34,4,6,7,35,15,22,6,26,4,6,0,3,3,2,1,0,12,4
2012-01,290,25,10,15,28,24,33,6,6,8,27,12,19,14,21,2,9,1,5,6,1,0,0,15,3
2012-02,245,27,14,11,28,19,28,7,11,6,17,9,15,12,14,3,4,0,5,4,1,2,0,4,4
2012-03,278,20,10,16,38,28,39,7,4,12,25,6,11,8,29,6,6,0,1,4,3,0,0,4,1
2012-04,241,22,4,19,17,21,44,9,3,7,19,7,15,12,21,4,3,1,1,0,0,1,0,8,3
2012-05,260,21,9,14,31,23,38,5,10,9,18,9,14,12,15,10,5,0,1,7,1,1,0,6,1
2012-06,256,19,13,12,31,28,32,9,10,8,21,7,17,7,15,6,7,0,1,4,4,1,0,3,1
2012-07,244,16,11,14,35,21,30,10,10,4,14,13,13,9,13,5,7,1,2,1,4,1,0,9,1
2012-08,299,24,11,22,39,29,43,7,7,11,19,6,27,7,22,5,7,0,2,2,3,1,0,4,1
2012-09,268,19,9,14,24,22,34,11,8,12,22,12,21,15,17,6,4,0,2,7,2,2,0,4,1
2012-10,277,23,14,19,30,27,34,13,7,7,18,11,17,13,21,4,4,0,1,5,0,1,0,7,1
2012-11,277,19,13,19,33,23,32,6,8,9,25,10,16,8,21,9,6,2,2,4,4,0,0,6,2
2012-12,284,17,12,20,36,23,30,8,27,11,14,9,16,10,20,3,8,1,2,2,5,0,0,9,1
2013-01,267,13,10,19,30,33,36,6,8,10,30,6,15,11,10,3,5,0,5,6,2,0,0,8,1
2013-02,254,15,8,18,20,32,34,11,10,6,19,7,10,12,23,6,9,0,1,2,1,0,0,7,3
2013-03,265,32,12,11,22,26,30,15,7,8,19,8,13,8,22,11,6,3,0,6,0,2,0,3,1
2013-04,226,13,11,15,24,19,27,8,6,9,15,6,11,5,21,5,10,0,1,5,2,1,0,11,1
2013-05,229,22,9,10,16,26,31,7,3,5,22,12,16,9,18,8,2,0,1,1,2,1,0,8,0
2013-06,251,12,13,18,24,22,27,7,4,9,25,7,17,5,25,11,8,2,3,1,3,0,0,4,4
2013-07,277,13,12,15,34,30,30,5,12,5,17,7,28,17,23,7,8,0,0,5,0,2,0,7,0
2013-08,237,17,13,15,27,20,30,5,6,2,16,13,17,9,22,3,5,0,1,7,1,0,0,6,2
2013-09,249,18,8,20,23,15,33,3,10,10,23,7,19,11,16,5,6,1,3,8,4,0,0,5,1
2013-10,273,16,11,17,32,31,36,3,3,12,17,8,24,9,20,6,9,1,3,3,4,0,0,5,3
2013-11,260,25,18,15,27,28,28,4,9,8,19,7,13,11,23,7,4,0,4,2,2,0,0,6,0
